date,zone,aqi,pm25_ugm3,pm10_ugm3,population
2026-01-01,Manali,70,35,70,130000
2026-01-01,Ennore,89,54,95,105000
2026-01-01,Kodungaiyur,108,73,120,90000
2026-01-01,Central,127,67,145,520000
2026-01-01,South,146,86,125,410000
2026-01-02,Manali,105,40,90,130000
2026-01-02,Ennore,82,59,115,105000
2026-01-02,Kodungaiyur,101,53,95,90000
2026-01-02,Central,120,72,120,520000
2026-01-02,South,139,91,145,410000
2026-01-03,Manali,98,45,110,130000
2026-01-03,Ennore,117,64,90,105000
2026-01-03,Kodungaiyur,94,58,115,90000
2026-01-03,Central,113,77,140,520000
2026-01-03,South,132,71,120,410000
2026-01-04,Manali,91,50,85,130000
2026-01-04,Ennore,110,44,110,105000
2026-01-04,Kodungaiyur,129,63,135,90000
2026-01-04,Central,106,82,115,520000
2026-01-04,South,125,76,140,410000
2026-01-05,Manali,84,55,105,130000
2026-01-05,Ennore,103,49,85,105000
2026-01-05,Kodungaiyur,122,68,110,90000
2026-01-05,Central,141,62,135,520000
2026-01-05,South,118,81,160,410000
2026-01-06,Manali,77,35,80,130000
2026-01-06,Ennore,96,54,105,105000
2026-01-06,Kodungaiyur,115,73,130,90000
2026-01-06,Central,134,67,110,520000
2026-01-06,South,153,86,135,410000
2026-01-07,Manali,70,40,100,130000
2026-01-07,Ennore,89,59,125,105000
2026-01-07,Kodungaiyur,108,53,105,90000
2026-01-07,Central,127,72,130,520000
2026-01-07,South,146,91,155,410000
2026-01-08,Manali,105,45,75,130000
2026-01-08,Ennore,82,64,100,105000
2026-01-08,Kodungaiyur,101,58,125,90000
2026-01-08,Central,120,77,150,520000
2026-01-08,South,139,71,130,410000
2026-01-09,Manali,98,50,95,130000
2026-01-09,Ennore,117,44,120,105000
2026-01-09,Kodungaiyur,94,63,100,90000
2026-01-09,Central,113,82,125,520000
2026-01-09,South,132,76,150,410000
2026-01-10,Manali,91,55,70,130000
2026-01-10,Ennore,110,49,95,105000
2026-01-10,Kodungaiyur,129,68,120,90000
2026-01-10,Central,106,62,145,520000
2026-01-10,South,125,81,125,410000
2026-01-11,Manali,84,35,90,130000
2026-01-11,Ennore,103,54,115,105000
2026-01-11,Kodungaiyur,122,73,95,90000
2026-01-11,Central,141,67,120,520000
2026-01-11,South,118,86,145,410000
2026-01-12,Manali,77,40,110,130000
2026-01-12,Ennore,96,59,90,105000
2026-01-12,Kodungaiyur,115,53,115,90000
2026-01-12,Central,134,72,140,520000
2026-01-12,South,153,91,120,410000
2026-01-13,Manali,70,45,85,130000
2026-01-13,Ennore,89,64,110,105000
2026-01-13,Kodungaiyur,108,58,135,90000
2026-01-13,Central,127,77,115,520000
2026-01-13,South,146,71,140,410000
2026-01-14,Manali,105,50,105,130000
2026-01-14,Ennore,82,44,85,105000
2026-01-14,Kodungaiyur,101,63,110,90000
