date,zone,aqi,pm25_ugm3,pm10_ugm3,population
2026-01-01,North,70,35,70,130000
2026-01-02,Central,89,54,95,105000
2026-01-03,South,108,73,120,90000
2026-01-04,West,127,67,145,520000
2026-01-05,East,146,86,125,410000
2026-01-06,North,105,40,90,130000
2026-01-07,Central,82,59,115,105000
2026-01-08,South,101,53,95,90000
2026-01-09,West,120,72,120,520000
2026-01-10,East,139,91,145,410000
2026-01-11,North,98,45,110,130000
2026-01-12,Central,117,64,90,105000
2026-01-13,South,94,58,115,90000
2026-01-14,West,113,77,140,520000
2026-01-15,East,132,71,120,410000
2026-01-16,North,91,50,85,130000
2026-01-17,Central,110,44,110,105000
2026-01-18,South,129,63,135,90000
2026-01-19,West,106,82,115,520000
2026-01-20,East,125,76,140,410000
2026-01-21,North,84,55,105,130000
2026-01-22,Central,103,49,85,105000
2026-01-23,South,122,68,110,90000
2026-01-24,West,141,62,135,520000
2026-01-25,East,118,81,160,410000
2026-01-26,North,77,35,80,130000
2026-01-27,Central,96,54,105,105000
2026-01-28,South,115,73,130,90000
2026-01-29,West,134,67,110,520000
2026-01-30,East,153,86,135,410000
2026-01-31,North,70,40,100,130000
2026-02-01,Central,89,59,125,105000
2026-02-02,South,108,53,105,90000
2026-02-03,West,127,72,130,520000
2026-02-04,East,146,91,155,410000
2026-02-05,North,105,45,75,130000
2026-02-06,Central,82,64,100,105000
2026-02-07,South,101,58,125,90000
2026-02-08,West,120,77,150,520000
2026-02-09,East,139,71,130,410000
2026-02-10,North,98,50,95,130000
2026-02-11,Central,117,44,120,105000
2026-02-12,South,94,63,100,90000
2026-02-13,West,113,82,125,520000
2026-02-14,East,132,76,150,410000
2026-02-15,North,91,55,70,130000
2026-02-16,Central,110,49,95,105000
2026-02-17,South,129,68,120,90000
2026-02-18,West,106,62,145,520000
2026-02-19,East,125,81,125,410000
2026-02-20,North,84,35,90,130000
2026-02-21,Central,103,54,115,105000
2026-02-22,South,122,73,95,90000
2026-02-23,West,141,67,120,520000
2026-02-24,East,118,86,145,410000
2026-02-25,North,77,40,110,130000
2026-02-26,Central,96,59,90,105000
2026-02-27,South,115,53,115,90000
2026-02-28,West,134,72,140,520000
2026-03-01,East,153,91,120,410000
